flags,utterance,category,intent,intent_encoded,category_encoded
BLQ,want help to make a reclamation,FEEDBACK,complaint,7,4
BEM,I do not know how to add some items to an order,ORDER,change_order,1,7
BIM,how do I check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee,3,1
BIM,where do I report issues with payment?,PAYMENT,payment_issue,18,8
BLQ,i want assistance to sign up to ur company newsletter,NEWSLETTER,newsletter_subscription,17,6
B,help to cancel an order I have made,ORDER,cancel_order,0,7
B,I need to check in what cases can I ask for my money back,REFUND,check_refund_policy,6,9
B,I need help trying to change the shipping address,SHIPPING_ADDRESS,change_shipping_address,2,10
B,assistance to track the last order,ORDER,track_order,25,7
BM,help me reporting registration issues,ACCOUNT,registration_problems,21,0
B,I need to get a refund of money,REFUND,get_refund,16,9
BLQW,check ur damn payment methods,PAYMENT,check_payment_methods,5,8
BP,I would like to set up a new shipping address,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BIP,would it be possible to file a complaint?,FEEDBACK,complaint,7,4
BM,I can't find the invoices from five purchases ago,INVOICE,check_invoice,4,5
BILMQ,how can i change some of my user details,ACCOUNT,edit_account,14,0
B,I am calling to get the invoice,INVOICE,get_invoice,15,5
BM,I need assistance taking a quick look at the invoices,INVOICE,check_invoice,4,5
BE,I do not know what I have to do to check my invoice,INVOICE,check_invoice,4,5
BM,help checking what options for delivery you offer,DELIVERY,delivery_options,12,3
BEM,I do not know how to buy a few of your item,ORDER,place_order,19,7
BI,can you help me to set up a new shipping address?,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BI,how to get a refund of money?,REFUND,get_refund,16,9
B,help leaving a review for your company,FEEDBACK,review,22,4
B,I have to cancel the order I made,ORDER,cancel_order,0,7
BI,is there a section to submit some feedback for a service?,FEEDBACK,review,22,4
BM,I need assistance checking the cancellation fees,CANCELLATION_FEE,check_cancellation_fee,3,1
B,I want assistance to talk to an agent,CONTACT,contact_human_agent,9,2
BIM,can you help me get the invoices from last month?,INVOICE,get_invoice,15,5
BMP,I would like to know more about order cancellations,ORDER,cancel_order,0,7
BIP,could I check your money back policy?,REFUND,check_refund_policy,6,9
BL,I try to unsubscribe to the corporate newsletter,NEWSLETTER,newsletter_subscription,17,6
B,I don't know how I can talk to an agent,CONTACT,contact_human_agent,9,2
BLQ,i need help speaking to a live agent,CONTACT,contact_human_agent,9,2
BEM,I do not know how to buy some items,ORDER,place_order,19,7
BILM,how to check the withdrawal charges?,CANCELLATION_FEE,check_cancellation_fee,3,1
BM,I want to check what options for delivery you offer,DELIVERY,delivery_options,12,3
B,I need to check when will my item arrive,DELIVERY,delivery_period,13,3
BI,is it possible to set up a new shipping address?,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BIM,where can I buy some items?,ORDER,place_order,19,7
BIL,can I chat with a human agent?,CONTACT,contact_human_agent,9,2
BIMP,could you help me to get the invoices from my last purchase?,INVOICE,get_invoice,15,5
B,I need help canceling the company newsletter subscription,NEWSLETTER,newsletter_subscription,17,6
B,help me to solve a payment issue,PAYMENT,payment_issue,18,8
B,help me delete my account,ACCOUNT,delete_account,11,0
BLQ,i need assistance changing to a different user account,ACCOUNT,switch_account,24,0
BLQ,i dont know what i need to do to speak with an operator,CONTACT,contact_human_agent,9,2
B,I need help tracking the refund,REFUND,track_refund,26,9
B,tell me more about changing the shipping address,SHIPPING_ADDRESS,change_shipping_address,2,10
BIM,there is any updates on my refund?,REFUND,track_refund,26,9
BIP,how could I check how soon can I expect the delivery?,DELIVERY,delivery_period,13,3
BEM,I am trying to find information about user account deletions,ACCOUNT,delete_account,11,0
BCELQ,i cannot sign up need assistance to notify of a signup issue,ACCOUNT,registration_problems,21,0
B,assistance to leave a review,FEEDBACK,review,22,4
BLQ,want help to see what payment methods uaccept,PAYMENT,check_payment_methods,5,8
BILW,is it possible to switch to my other fucking profile?,ACCOUNT,switch_account,24,0
BIP,will you give me information about a password recovery?,ACCOUNT,recover_password,20,0
BE,I do not know what I need to do to register,ACCOUNT,create_account,10,0
BELQ,i do not know how i can change the info on my profile,ACCOUNT,edit_account,14,0
BM,I try to buy some items,ORDER,place_order,19,7
BLZ,I don't know what I have to do to contcat customer support,CONTACT,contact_customer_service,8,2
BLZ,I want assisatance to create another account for my fiancee,ACCOUNT,create_account,10,0
BM,assistance to check what options for delivery you offer,DELIVERY,delivery_options,12,3
BIL,where to file a consumer claim?,FEEDBACK,complaint,7,4
BMP,I would like to check the invoice from 4 purchases ago,INVOICE,check_invoice,4,5
B,I have to check my refund status,REFUND,track_refund,26,9
BLQ,help me recover my account pwd,ACCOUNT,recover_password,20,0
BP,I would like to get my money back,REFUND,get_refund,16,9
BLQZ,need to check the  cancellation charge,CANCELLATION_FEE,check_cancellation_fee,3,1
BK,check delivery options,DELIVERY,delivery_options,12,3
BE,I do not know how I can check my invoice,INVOICE,check_invoice,4,5
B,help me to get the invoice from my last purchase,INVOICE,get_invoice,15,5
B,I try to check the status of my refund,REFUND,track_refund,26,9
BIL,how to open a new standard account?,ACCOUNT,create_account,10,0
BLMQ,want help seeing the termination charges,CANCELLATION_FEE,check_cancellation_fee,3,1
BIM,can I get the invoices from my last purchase?,INVOICE,get_invoice,15,5
BIM,how do I get refunds?,REFUND,get_refund,16,9
BM,I want to know about the delivery periods,DELIVERY,delivery_period,13,3
B,I need help getting the invoice from my last purchase,INVOICE,get_invoice,15,5
B,I am trying to buy something,ORDER,place_order,19,7
B,I want to set another shipping address up,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BIP,could you help me registering?,ACCOUNT,create_account,10,0
BM,problems with adding an item to an order,ORDER,change_order,1,7
B,assistance to get my money back,REFUND,get_refund,16,9
B,I don't know how I can contact customer service,CONTACT,contact_customer_service,8,2
BE,I do not know what I have to do to create an account,ACCOUNT,create_account,10,0
BM,I want help to add some items,ORDER,change_order,1,7
B,check what hours I can contact customer service,CONTACT,contact_customer_service,8,2
BM,I don't know how I can check the invoices from 2 months ago,INVOICE,check_invoice,4,5
B,I want help canceling the order I have made,ORDER,cancel_order,0,7
BL,I need help to cancel my company newsletter subscription,NEWSLETTER,newsletter_subscription,17,6
BEM,I do not know how I can take a quick look at the invoices,INVOICE,check_invoice,4,5
BK,track order,ORDER,track_order,25,7
BIM,how to check what options for delivery you offer?,DELIVERY,delivery_options,12,3
BIP,how could I get information about the delivery options?,DELIVERY,delivery_options,12,3
BELZ,I do not know what I have to do to call cutomer support,CONTACT,contact_customer_service,8,2
B,I try to check your money back policy,REFUND,check_refund_policy,6,9
BL,assistance to see the cancellation penalty,CANCELLATION_FEE,check_cancellation_fee,3,1
BL,I want assistance to chat with a person,CONTACT,contact_human_agent,9,2
BLQ,need assistance to chat with a live agent,CONTACT,contact_human_agent,9,2
BP,I would like to check what payment methods are available,PAYMENT,check_payment_methods,5,8
BM,I have got to remove several items from an order,ORDER,change_order,1,7
BIP,would it be possible to talk to an agent?,CONTACT,contact_human_agent,9,2
B,I call to check when will my item arrive,DELIVERY,delivery_period,13,3
B,check the status of my refund,REFUND,track_refund,26,9
B,help me to check the cancellation fee,CANCELLATION_FEE,check_cancellation_fee,3,1
B,tell me about changing the shipping address,SHIPPING_ADDRESS,change_shipping_address,2,10
BM,I have got to buy several items,ORDER,place_order,19,7
BIP,how could I get information about a forgotten password?,ACCOUNT,recover_password,20,0
BM,show me the invoices from 10 purchases ago,INVOICE,check_invoice,4,5
BILP,would it be possible to inform of a sign-up problem?,ACCOUNT,registration_problems,21,0
BM,assistance checking the invoice from two purchases ago,INVOICE,check_invoice,4,5
B,tell me about canceling the company newsletter subscription,NEWSLETTER,newsletter_subscription,17,6
B,I want help talking to an agent,CONTACT,contact_human_agent,9,2
BIM,can you help me report registration issues?,ACCOUNT,registration_problems,21,0
BI,where can I find information about the delivery period?,DELIVERY,delivery_period,13,3
BIP,could you help me to get a refund?,REFUND,get_refund,16,9
BILQ,where can i report a sign-up issue,ACCOUNT,registration_problems,21,0
BI,how do I cancel the last order I have made?,ORDER,cancel_order,0,7
BELQ,i do not know how to list the allowed payment options,PAYMENT,check_payment_methods,5,8
BIM,is it possible to report payment issues?,PAYMENT,payment_issue,18,8
BE,I do not know how to take a quick look at the invoice,INVOICE,check_invoice,4,5
BKM,getting invoices from ten months ago,INVOICE,get_invoice,15,5
BIMP,could you help me get the invoices from last month?,INVOICE,get_invoice,15,5
BM,I want to get my invoices,INVOICE,get_invoice,15,5
BI,how can I check your refund policy?,REFUND,check_refund_policy,6,9
BIP,could I add something to an order?,ORDER,change_order,1,7
B,I want assistance to contact an agent,CONTACT,contact_human_agent,9,2
BIL,is it possible to sign up to your corporate newsletter?,NEWSLETTER,newsletter_subscription,17,6
BIMP,could you help me to buy several of your item?,ORDER,place_order,19,7
BILQ,can ya tell me about my user account termination,ACCOUNT,delete_account,11,0
B,I need to get the invoice,INVOICE,get_invoice,15,5
BIL,how to open another account?,ACCOUNT,create_account,10,0
B,tell me about a forgotten password,ACCOUNT,recover_password,20,0
BLQZ,wanna know more about my user acount removal,ACCOUNT,delete_account,11,0
BIP,how could I get information about a shipping address change?,SHIPPING_ADDRESS,change_shipping_address,2,10
BE,I do not know what to do to change the shipping address,SHIPPING_ADDRESS,change_shipping_address,2,10
BI,can I edit my account?,ACCOUNT,edit_account,14,0
B,I want assistance to set a new shipping address up,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BK,leave review,FEEDBACK,review,22,4
B,help adding an item,ORDER,change_order,1,7
BM,I need help to take a quick look at the invoices,INVOICE,check_invoice,4,5
BIP,could you help me add something to an order?,ORDER,change_order,1,7
B,I need help setting a new shipping address up,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BLQ,i need support with our account registration,ACCOUNT,registration_problems,21,0
BLMQ,i have to update some of the details included on my account,ACCOUNT,edit_account,14,0
BL,I have to use my new account,ACCOUNT,switch_account,24,0
BIL,can you tell me what payment options are accepted?,PAYMENT,check_payment_methods,5,8
BELW,I do not know what to do to report a fucking sign-up error,ACCOUNT,registration_problems,21,0
BIM,where to check what delivery options I have?,DELIVERY,delivery_options,12,3
BIP,would it be possible to submit some feedback?,FEEDBACK,review,22,4
BI,are the service charges refundable?,REFUND,check_refund_policy,6,9
BL,I am trying to open another online account for my wife,ACCOUNT,create_account,10,0
BIM,where to buy some items?,ORDER,place_order,19,7
B,I want assistance to cancel the last order I have made,ORDER,cancel_order,0,7
B,I want assistance to report a payment issue,PAYMENT,payment_issue,18,8
BLQW,i dont know what to do to talk to a fucking live agent,CONTACT,contact_human_agent,9,2
B,I need help checking how long the delivery takes,DELIVERY,delivery_period,13,3
B,assistance tracking an order,ORDER,track_order,25,7
BI,is it possible to delete the account?,ACCOUNT,delete_account,11,0
BK,edit personal information,ACCOUNT,edit_account,14,0
BM,I need help solving issues with payment,PAYMENT,payment_issue,18,8
BEM,I am looking for information about user account deletions,ACCOUNT,delete_account,11,0
B,I want assistance taking a quick look at my invoice,INVOICE,check_invoice,4,5
BIP,could you tell me what payment methods are available?,PAYMENT,check_payment_methods,5,8
BEP,I do not know how I could check the status of the refund,REFUND,track_refund,26,9
BIP,how could I find information about delivery periods?,DELIVERY,delivery_period,13,3
BILQ,how to retrieve my user account key,ACCOUNT,recover_password,20,0
B,I need to leave a review for your services,FEEDBACK,review,22,4
B,I don't know what I have to do to file a complaint,FEEDBACK,complaint,7,4
B,I don't know what I have to do to check my order ETA,ORDER,track_order,25,7
BL,check what hours I can reach customer assistance,CONTACT,contact_customer_service,8,2
BIP,will you show me what payment methods are available?,PAYMENT,check_payment_methods,5,8
BILQ,how do i see the termination penalty,CANCELLATION_FEE,check_cancellation_fee,3,1
BLQ,I need assistance to retrieve my online account pwd,ACCOUNT,recover_password,20,0
BI,what do I have to do to set a new shipping address up?,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BIP,would it be possible to check when will my item arrive?,DELIVERY,delivery_period,13,3
BL,show me the payment options,PAYMENT,check_payment_methods,5,8
B,I need help to get my money back,REFUND,get_refund,16,9
B,show me your refund policy,REFUND,check_refund_policy,6,9
B,I want assistance to report an issue with payment,PAYMENT,payment_issue,18,8
B,help me checking my order ETA,ORDER,track_order,25,7
BI,can you show me what payment methods are available?,PAYMENT,check_payment_methods,5,8
B,I want help checking the cancellation fee,CANCELLATION_FEE,check_cancellation_fee,3,1
BIP,could I check the invoice from my last purchase?,INVOICE,check_invoice,4,5
BEP,I do not know how I could make an order,ORDER,place_order,19,7
B,I want help deleting an account,ACCOUNT,delete_account,11,0
B,I need assistance with a shipping address change,SHIPPING_ADDRESS,change_shipping_address,2,10
B,I want assistance checking the status of the refund,REFUND,track_refund,26,9
B,I want assistance checking the options for delivery,DELIVERY,delivery_options,12,3
B,help me file a complaint,FEEDBACK,complaint,7,4
BIL,how do I file a customer complaint against your business?,FEEDBACK,complaint,7,4
B,I want help regarding my registration,ACCOUNT,registration_problems,21,0
B,I don't know what to do to check your money back policy,REFUND,check_refund_policy,6,9
BELQ,i do not know how to talk with somebody,CONTACT,contact_human_agent,9,2
BIMP,would you give me information about canceling orders?,ORDER,cancel_order,0,7
BI,where do I track the refund?,REFUND,track_refund,26,9
BIP,could you help me to edit the information on my account?,ACCOUNT,edit_account,14,0
BKM,checking invoices from three months ago,INVOICE,check_invoice,4,5
B,I want help to check my order ETA,ORDER,track_order,25,7
BK,leaving review for your services,FEEDBACK,review,22,4
BM,add some items to an order,ORDER,change_order,1,7
B,I want assistance to file a complaint,FEEDBACK,complaint,7,4
BIL,where do I see what payment options are accepted?,PAYMENT,check_payment_methods,5,8
B,assistance changing my shipping address,SHIPPING_ADDRESS,change_shipping_address,2,10
BIP,could you show me when will my item arrive?,DELIVERY,delivery_period,13,3
BK,check status of refund,REFUND,track_refund,26,9
BL,I need assistance creating a different account for my mum,ACCOUNT,create_account,10,0
BL,I want to see at what time I can reach customer service,CONTACT,contact_customer_service,8,2
BLM,there are troubles updating the address,SHIPPING_ADDRESS,change_shipping_address,2,10
BP,I don't know how I could delete an account,ACCOUNT,delete_account,11,0
BEM,I do not know how to get the invoices from six months ago,INVOICE,get_invoice,15,5
BI,where to check the invoice from my last purchase?,INVOICE,check_invoice,4,5
BIM,how to check what delivery options I can choose?,DELIVERY,delivery_options,12,3
BI,where do I set a new shipping address up?,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BM,I need to get the invoices from June,INVOICE,get_invoice,15,5
B,I can't track my order,ORDER,track_order,25,7
BLQW,i have a question about the damn account sign-up,ACCOUNT,registration_problems,21,0
BE,I cannot check if there is anything new on my refund,REFUND,track_refund,26,9
BLM,I don't know what I have to do to see the cancellation fees,CANCELLATION_FEE,check_cancellation_fee,3,1
B,I try to check the status of my order,ORDER,track_order,25,7
B,information about changing my shipping address,SHIPPING_ADDRESS,change_shipping_address,2,10
B,I have to track the last order,ORDER,track_order,25,7
BLQW,i need assistance to make a bloody customer claim,FEEDBACK,complaint,7,4
BL,assistance lodging a consumer complaint,FEEDBACK,complaint,7,4
B,I need help to file a complaint against your business,FEEDBACK,complaint,7,4
BIP,could you help me solving a payment issue?,PAYMENT,payment_issue,18,8
B,I am trying to get my money back,REFUND,get_refund,16,9
BL,give me information about the cancellation of an account,ACCOUNT,delete_account,11,0
B,I want help switching to another account,ACCOUNT,switch_account,24,0
B,I have to take a quick look at the invoice from last month,INVOICE,check_invoice,4,5
BM,assistance checking the invoices,INVOICE,check_invoice,4,5
B,help me check how long refunds take,REFUND,check_refund_policy,6,9
B,I need assistance checking your refund policy,REFUND,check_refund_policy,6,9
B,I have got to get a refund of money,REFUND,get_refund,16,9
B,I try to get a refund of money,REFUND,get_refund,16,9
BEMP,I do not know how I could get my invoices,INVOICE,get_invoice,15,5
BK,review for your company,FEEDBACK,review,22,4
B,I am trying to change an order I made,ORDER,change_order,1,7
BILQ,can ya help me lodge a complaint against ur business,FEEDBACK,complaint,7,4
BIM,where can I get the invoices from last month?,INVOICE,get_invoice,15,5
B,I need assistance to track my order,ORDER,track_order,25,7
BI,where to get the invoice from September?,INVOICE,get_invoice,15,5
BM,problems with forgotten passwords,ACCOUNT,recover_password,20,0
BIP,how could I cancel an order?,ORDER,cancel_order,0,7
B,I want to check when my delivery is going to arrive,DELIVERY,delivery_period,13,3
BIP,could I check in what cases can I ask for a refund?,REFUND,check_refund_policy,6,9
B,I don't know how I can make a purchase,ORDER,place_order,19,7
BI,what do I have to do to create an account?,ACCOUNT,create_account,10,0
BLQ,i want assistance to create a basic account,ACCOUNT,create_account,10,0
BM,problems with user account deletions,ACCOUNT,delete_account,11,0
BIL,how to see the status of my company newsletter subscription?,NEWSLETTER,newsletter_subscription,17,6
BIM,how do I report payment issues?,PAYMENT,payment_issue,18,8
BILM,can you help me checking the termination penalties?,CANCELLATION_FEE,check_cancellation_fee,3,1
BP,I would like to know more about changing my shipping address,SHIPPING_ADDRESS,change_shipping_address,2,10
BLQ,wanna receive the company newsletter,NEWSLETTER,newsletter_subscription,17,6
BI,can you help me leave a review for a service?,FEEDBACK,review,22,4
BILMQ,is it possible to check the termination fees,CANCELLATION_FEE,check_cancellation_fee,3,1
BILQ,how can i speak to customer service,CONTACT,contact_customer_service,8,2
BLMQ,i have issues trying to correct my shipping address,SHIPPING_ADDRESS,change_shipping_address,2,10
BIP,could you help me setting a new shipping address up?,SHIPPING_ADDRESS,set_up_shipping_address,23,10
B,I chose a wrong shipping address by mistake,SHIPPING_ADDRESS,change_shipping_address,2,10
BI,when is my item going to arrive?,DELIVERY,delivery_period,13,3
BP,I would like information about canceling an order,ORDER,cancel_order,0,7
B,I need to check the status of my refund,REFUND,track_refund,26,9
BIP,could you help me setting up another shipping address?,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BIP,could I delete an account?,ACCOUNT,delete_account,11,0
B,I don't know how to register,ACCOUNT,create_account,10,0
BE,I do not know how to leave a review for your services,FEEDBACK,review,22,4
BIL,what do I need to do to speak with an operator?,CONTACT,contact_human_agent,9,2
BK,set up new shipping address,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BI,can you show me in what cases can I ask for a refund?,REFUND,check_refund_policy,6,9
BI,what do I have to do to report a registration issue?,ACCOUNT,registration_problems,21,0
BLW,assistance creating a bloody new account,ACCOUNT,create_account,10,0
BK,change shipping address,SHIPPING_ADDRESS,change_shipping_address,2,10
BM,help me to check if there is any updates on my refund,REFUND,track_refund,26,9
BM,I need help to get refunds,REFUND,get_refund,16,9
B,I want help to get the invoice from June,INVOICE,get_invoice,15,5
BIP,could I submit some feedback?,FEEDBACK,review,22,4
BIL,what do I need to do to open a new account?,ACCOUNT,create_account,10,0
BCIL,"I need to subscribe to your newsletter, can you help me?",NEWSLETTER,newsletter_subscription,17,6
B,checking your refund policy,REFUND,check_refund_policy,6,9
BLQ,want help seeing what hours I can reach customer assistance,CONTACT,contact_customer_service,8,2
BIMP,could you give me information about forgotten passwords?,ACCOUNT,recover_password,20,0
BLQ,want assistance seeing the early termination fee,CANCELLATION_FEE,check_cancellation_fee,3,1
BEM,I do not know what I need to do to report payment issues,PAYMENT,payment_issue,18,8
BMP,I would like information about the delivery periods,DELIVERY,delivery_period,13,3
BEMP,I do not know how I could check what delivery options I have,DELIVERY,delivery_options,12,3
BIP,where could I get a refund?,REFUND,get_refund,16,9
BM,I want to buy some items,ORDER,place_order,19,7
BILM,what do I need to do to change the user details?,ACCOUNT,edit_account,14,0
BL,I try to talk with an agent,CONTACT,contact_human_agent,9,2
BLZ,I nede to see the payment methods,PAYMENT,check_payment_methods,5,8
BI,is there an e-mail to submit a review?,FEEDBACK,review,22,4
BLQ,i need help using a new profile,ACCOUNT,switch_account,24,0
B,I am calling to file a complaint against your business,FEEDBACK,complaint,7,4
B,I want help filing a complaint against your business,FEEDBACK,complaint,7,4
BILQ,where can I retrieve the pass of my account?,ACCOUNT,recover_password,20,0
B,I need assistance to contact customer service,CONTACT,contact_customer_service,8,2
B,I can't switch user,ACCOUNT,switch_account,24,0
BP,I don't know how I could register,ACCOUNT,create_account,10,0
B,I need to check at what time I can contact customer service,CONTACT,contact_customer_service,8,2
BI,how can I get the invoice from August?,INVOICE,get_invoice,15,5
BM,I want help to buy several of your item,ORDER,place_order,19,7
BI,can you help me leave a review for your company?,FEEDBACK,review,22,4
BELM,I do not know how I can ask for compensations,REFUND,get_refund,16,9
BCEL,"I no longer need the online account, assistance deleting it",ACCOUNT,delete_account,11,0
B,help to cancel an order I made,ORDER,cancel_order,0,7
BIP,could you help me switching user?,ACCOUNT,switch_account,24,0
B,show me when will my item arrive,DELIVERY,delivery_period,13,3
BL,I want help to delete my user account,ACCOUNT,delete_account,11,0
BE,I do not know how I can find the invoice from January,INVOICE,check_invoice,4,5
BCEILQ,I'm not happy with ur service how can i make a reclamation,FEEDBACK,complaint,7,4
BEM,I do not know what I need to do to get refunds of money,REFUND,get_refund,16,9
B,report registration issue,ACCOUNT,registration_problems,21,0
BM,I want assistance reporting registration issues,ACCOUNT,registration_problems,21,0
BCELQ,i have not signed up yet help creating an online account,ACCOUNT,create_account,10,0
BM,assistance to check if there is any updates on my refund,REFUND,track_refund,26,9
BIP,how could I find information about the delivery options?,DELIVERY,delivery_options,12,3
B,I need assistance to check what payment methods you accept,PAYMENT,check_payment_methods,5,8
BI,can you help me to change the shipping address?,SHIPPING_ADDRESS,change_shipping_address,2,10
BELQZ,i  do not know how i can see the early exit penalty,CANCELLATION_FEE,check_cancellation_fee,3,1
B,I need assistance to check my refund status,REFUND,track_refund,26,9
BI,how can I check what hours customer service available is?,CONTACT,contact_customer_service,8,2
BI,can you help me change the shipping address?,SHIPPING_ADDRESS,change_shipping_address,2,10
BIL,what do I have to do to open a basic account for my husband?,ACCOUNT,create_account,10,0
BIM,can you help me get the invoices?,INVOICE,get_invoice,15,5
BIMP,where could I check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee,3,1
BI,is it possible to cancel the last order?,ORDER,cancel_order,0,7
BCELMQWZ,i cannot find the goddamn earpy exit charges i need help,CANCELLATION_FEE,check_cancellation_fee,3,1
BIL,how do I speak to customer assistance?,CONTACT,contact_customer_service,8,2
B,canceling subscription to your company newsletter,NEWSLETTER,newsletter_subscription,17,6
BILQ,what do i have to do to change to another user account,ACCOUNT,switch_account,24,0
BI,where do I get the invoice from my last purchase?,INVOICE,get_invoice,15,5
BI,how can I submit some feedback for your services?,FEEDBACK,review,22,4
BLQ,need assistance speaking with an operator,CONTACT,contact_human_agent,9,2
BLM,I don't know what to do to see the withdrawal fees,CANCELLATION_FEE,check_cancellation_fee,3,1
BIP,could you help me report a registration issue?,ACCOUNT,registration_problems,21,0
BI,where do I leave a review?,FEEDBACK,review,22,4
BE,I do not want the order,ORDER,cancel_order,0,7
BLQ,want help to check the cancellation penalty,CANCELLATION_FEE,check_cancellation_fee,3,1
B,help me submit some feedback for a service,FEEDBACK,review,22,4
BIP,could I check the status of my refund?,REFUND,track_refund,26,9
B,I need assistance leaving a review,FEEDBACK,review,22,4
B,I need assistance checking the status of my refund,REFUND,track_refund,26,9
BM,I have got to get the invoices,INVOICE,get_invoice,15,5
B,I want help taking a quick look at my invoice,INVOICE,check_invoice,4,5
B,I need assistance changing my shipping address,SHIPPING_ADDRESS,change_shipping_address,2,10
BI,how do I check if there is anything new on my refund?,REFUND,track_refund,26,9
BM,help checking if there is any updates on my refund,REFUND,track_refund,26,9
BI,how can I track my last order?,ORDER,track_order,25,7
BI,where can I check when my delivery is going to arrive?,DELIVERY,delivery_period,13,3
BMP,I don't know how I could change some items of an order,ORDER,change_order,1,7
B,question about a shipping address change,SHIPPING_ADDRESS,change_shipping_address,2,10
B,help checking at what time customer service available is,CONTACT,contact_customer_service,8,2
BMP,I would like information about user account deletions,ACCOUNT,delete_account,11,0
BCEILQ,i cannot remember my account pwd can ya help me restore it,ACCOUNT,recover_password,20,0
BMP,I would like to get the invoice from one purchases ago,INVOICE,get_invoice,15,5
B,I am trying to get a refund of money,REFUND,get_refund,16,9
BI,is it possible to set another shipping address up?,SHIPPING_ADDRESS,set_up_shipping_address,23,10
B,I need help regarding my registration,ACCOUNT,registration_problems,21,0
B,I need help to check the status of the refund,REFUND,track_refund,26,9
BM,help me to check what delivery options you offer,DELIVERY,delivery_options,12,3
BLQW,want assistance speaking with a bloody live agent,CONTACT,contact_human_agent,9,2
B,I need assistance reporting a registration issue,ACCOUNT,registration_problems,21,0
B,I try to set a different shipping address up,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BM,I want help to buy some items,ORDER,place_order,19,7
B,I don't know what to do to track an order,ORDER,track_order,25,7
BIP,would it be possible to report a registration issue?,ACCOUNT,registration_problems,21,0
BM,I want assistance solving payment issues,PAYMENT,payment_issue,18,8
B,I need help checking my refund status,REFUND,track_refund,26,9
BIP,would it be possible to change an order I have made?,ORDER,change_order,1,7
BM,I want to take a quick look at my invoices,INVOICE,check_invoice,4,5
B,I don't know how I can report a registration issue,ACCOUNT,registration_problems,21,0
BM,I need help to get the invoice from seven purchases ago,INVOICE,get_invoice,15,5
BCLMZ,"I have got to modify some of my personal details , help me",ACCOUNT,edit_account,14,0
BI,how can I find information about a user account deletion?,ACCOUNT,delete_account,11,0
BIP,could I leave a review for your company?,FEEDBACK,review,22,4
BIP,will you tell me what payment methods are available?,PAYMENT,check_payment_methods,5,8
B,assistance to talk to an agent,CONTACT,contact_human_agent,9,2
B,I want assistance to check your allowed payment methods,PAYMENT,check_payment_methods,5,8
BI,can you help me track my last order?,ORDER,track_order,25,7
BIP,where could I check how soon can I expect the item?,DELIVERY,delivery_period,13,3
BM,problems with canceling the order I made,ORDER,cancel_order,0,7
BIP,will you show me your allowed payment methods?,PAYMENT,check_payment_methods,5,8
BI,where can I cancel the company newsletter subscription?,NEWSLETTER,newsletter_subscription,17,6
B,I want assistance setting another shipping address up,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BI,where do I check when my delivery is going to arrive?,DELIVERY,delivery_period,13,3
B,help me to get a refund,REFUND,get_refund,16,9
BI,when am I going to get a refund?,REFUND,get_refund,16,9
BEM,I do not know what to do to get my invoices,INVOICE,get_invoice,15,5
BKM,getting invoices from last purchase,INVOICE,get_invoice,15,5
BL,assistance to talk to somebody,CONTACT,contact_human_agent,9,2
BP,I don't know how I could check your allowed payment methods,PAYMENT,check_payment_methods,5,8
BILQ,can uhelp me to use a new user profile,ACCOUNT,switch_account,24,0
BI,how do I find the invoice from April?,INVOICE,check_invoice,4,5
BLQ,wanna modify the information on my account,ACCOUNT,edit_account,14,0
BE,I do not know what I need to do to talk to an agent,CONTACT,contact_human_agent,9,2
BP,I would like to check how long the delivery takes,DELIVERY,delivery_period,13,3
BI,where do I submit some feedback for a service?,FEEDBACK,review,22,4
B,I am trying to check how soon can I expect the item,DELIVERY,delivery_period,13,3
BIMP,where could I get refunds?,REFUND,get_refund,16,9
BZ,I try to ocntact an agent,CONTACT,contact_human_agent,9,2
BIP,where could I file a complaint?,FEEDBACK,complaint,7,4
BMP,I would like to get the invoices from ten months ago,INVOICE,get_invoice,15,5
BL,talk with a live agent,CONTACT,contact_human_agent,9,2
B,I need to switch to another account,ACCOUNT,switch_account,24,0
BI,can I check how long refunds usually take?,REFUND,check_refund_policy,6,9
B,I want to submit some feedback for your company,FEEDBACK,review,22,4
B,I want help to delete the account,ACCOUNT,delete_account,11,0
BLMQ,want assistance to modify some of the details on my account,ACCOUNT,edit_account,14,0
BK,checking allowed payment methods,PAYMENT,check_payment_methods,5,8
BL,I need assistance resetting my account PIN,ACCOUNT,recover_password,20,0
BK,getting invoice,INVOICE,get_invoice,15,5
BP,I would like to know about the delivery period,DELIVERY,delivery_period,13,3
BI,how do I track my order?,ORDER,track_order,25,7
BI,where to file a complaint?,FEEDBACK,complaint,7,4
BM,send me the invoices from nine months ago,INVOICE,get_invoice,15,5
